BookID,Title,AuthorID,Genre,SubGenre,ISBN,PublishDate,ListPrice,Format,PageCount,PrintRunSize,ImprintName,Status
BK-001,The Literary Mind,AUT-001,Fiction,Literary Fiction,978-1-2345-0001-1,2023-09-15,24.99,Hardcover,320,15000,Horizon Literary,Active
BK-002,Quantum Horizons,AUT-002,Fiction,Science Fiction,978-1-2345-0002-8,2023-11-01,27.99,Hardcover,480,20000,Starlight Press,Active
BK-003,Garden of Whispers,AUT-003,Fiction,Romance,978-1-2345-0003-5,2023-10-20,16.99,Paperback,288,12000,Rosewood Books,Active
BK-004,Code Breakers,AUT-004,Non-Fiction,Technology,978-1-2345-0004-2,2024-01-15,29.99,Hardcover,400,18000,Horizon Technical,Active
BK-005,The Midnight Garden,AUT-005,Fiction,Mystery,978-1-2345-0005-9,2024-01-30,22.99,Paperback,352,10000,Moonlight Mysteries,Active
BK-006,Empire of Stars,AUT-006,Fiction,Fantasy,978-1-2345-0006-6,2024-02-20,28.99,Hardcover,560,25000,Starlight Press,Active
BK-007,The Art of Slow Living,AUT-007,Non-Fiction,Lifestyle,978-1-2345-0007-3,2024-03-01,19.99,Paperback,224,14000,Horizon Living,Active
BK-008,Digital Nomad,AUT-008,Non-Fiction,Business,978-1-2345-0008-0,2024-03-15,25.99,Hardcover,336,16000,Horizon Technical,Active
BK-009,Ocean Deep,AUT-009,Fiction,Literary Fiction,978-1-2345-0009-7,2024-04-01,23.99,Hardcover,304,12000,Horizon Literary,Active
BK-010,The Last Algorithm,AUT-010,Fiction,Thriller,978-1-2345-0010-3,2024-04-20,26.99,Hardcover,416,30000,Moonlight Mysteries,Active
BK-011,Whispers in the Wind,AUT-011,Fiction,Romance,978-1-2345-0011-0,2024-05-10,15.99,Paperback,256,8000,Rosewood Books,Active
BK-012,Children of Tomorrow,AUT-012,Fiction,Science Fiction,978-1-2345-0012-7,2024-05-25,27.99,Hardcover,512,22000,Starlight Press,Active
BK-013,The Phoenix Protocol,AUT-013,Fiction,Thriller,978-1-2345-0013-4,2024-06-15,28.99,Hardcover,448,35000,Moonlight Mysteries,Active
BK-014,Mindful Cooking,AUT-014,Non-Fiction,Cooking,978-1-2345-0014-1,2024-07-01,32.99,Hardcover,272,10000,Horizon Living,Active
BK-015,The Forgotten City,AUT-015,Fiction,Fantasy,978-1-2345-0015-8,2024-07-20,26.99,Hardcover,496,18000,Starlight Press,Active
BK-016,Sustainable Future,AUT-016,Non-Fiction,Environment,978-1-2345-0016-5,2024-08-15,21.99,Paperback,288,11000,Horizon Technical,Active
BK-017,Winter's Promise,AUT-017,Fiction,Literary Fiction,978-1-2345-0017-2,2024-09-01,27.99,Hardcover,384,50000,Horizon Literary,Active
BK-018,The Herbalist's Guide,AUT-018,Non-Fiction,Health,978-1-2345-0018-9,2024-09-20,24.99,Paperback,320,9000,Horizon Living,Active
BK-019,New Year New You,AUT-019,Non-Fiction,Self-Help,978-1-2345-0019-6,2024-10-15,18.99,Paperback,240,13000,Horizon Living,Active
BK-020,The Joy of Reading,AUT-020,Non-Fiction,Education,978-1-2345-0020-2,2024-11-01,22.99,Hardcover,256,15000,Horizon Literary,Active
BK-021,Starfall Legacy,AUT-006,Fiction,Fantasy,978-1-2345-0021-9,2025-01-15,29.99,Hardcover,608,40000,Starlight Press,Active
BK-022,The Data Detective,AUT-004,Non-Fiction,Technology,978-1-2345-0022-6,2025-02-01,28.99,Hardcover,384,20000,Horizon Technical,Active
